Index,Place_ID,Category
97,51fdce4076286c54c059a3f0fdf7e0c04440f00102f9017b4c340f00000000920338446f75626c65547265652062792048696c746f6e20486f74656c20436c6576656c616e6420446f776e746f776e202d204c616b6573696465,building.accommodation
98,51fdce4076286c54c059a3f0fdf7e0c04440f00102f9017b4c340f00000000920338446f75626c65547265652062792048696c746f6e20486f74656c20436c6576656c616e6420446f776e746f776e202d204c616b6573696465,internet_access
99,51fdce4076286c54c059a3f0fdf7e0c04440f00102f9017b4c340f00000000920338446f75626c65547265652062792048696c746f6e20486f74656c20436c6576656c616e6420446f776e746f776e202d204c616b6573696465,internet_access.free
100,516249b9fb1c6c54c0595546852fa7c04440f00103f901c59bf11500000000920323436c6576656c616e642048756e67617269616e204865726974616765204d757365756d,entertainment
101,516249b9fb1c6c54c0595546852fa7c04440f00103f901c59bf11500000000920323436c6576656c616e642048756e67617269616e204865726974616765204d757365756d,entertainment.museum
102,51b6ea31aa8a6f54c0590388df0b22bd4440f00102f901080119180000000092030d46616d696c7920446f6c6c6172,building
103,51b6ea31aa8a6f54c0590388df0b22bd4440f00102f901080119180000000092030d46616d696c7920446f6c6c6172,building.commercial
104,51b6ea31aa8a6f54c0590388df0b22bd4440f00102f901080119180000000092030d46616d696c7920446f6c6c6172,commercial
105,51b6ea31aa8a6f54c0590388df0b22bd4440f00102f901080119180000000092030d46616d696c7920446f6c6c6172,commercial.discount_store
106,51802b6a5b9f6c54c0598927cd1230bc4440f00102f901d1673d190000000092030c536f757468204272616e6368,building
107,51802b6a5b9f6c54c0598927cd1230bc4440f00102f901d1673d190000000092030c536f757468204272616e6368,building.public_and_civil
108,51802b6a5b9f6c54c0598927cd1230bc4440f00102f901d1673d190000000092030c536f757468204272616e6368,education
109,51802b6a5b9f6c54c0598927cd1230bc4440f00102f901d1673d190000000092030c536f757468204272616e6368,education.library
110,51802b6a5b9f6c54c0598927cd1230bc4440f00102f901d1673d190000000092030c536f757468204272616e6368,internet_access
111,51802b6a5b9f6c54c0598927cd1230bc4440f00102f901d1673d190000000092030c536f757468204272616e6368,internet_access.free
112,51f50803567a6a54c0594cb904bf38c14440f00102f90157b271190000000092030d4d61776920576972656c657373,building
113,51f50803567a6a54c0594cb904bf38c14440f00102f90157b271190000000092030d4d61776920576972656c657373,building.commercial
114,51f50803567a6a54c0594cb904bf38c14440f00102f90157b271190000000092030d4d61776920576972656c657373,commercial
115,51f50803567a6a54c0594cb904bf38c14440f00102f90157b271190000000092030d4d61776920576972656c657373,commercial.elektronics
116,51044d7ae63c6a54c059b05b203094c04440f00102f901a3bbea26000000009203204368696c6472656ee2809973204d757365756d206f6620436c6576656c616e64,building
117,51044d7ae63c6a54c059b05b203094c04440f00102f901a3bbea26000000009203204368696c6472656ee2809973204d757365756d206f6620436c6576656c616e64,building.tourism
